user_id,article_id,liked
45,104134,False
409,548820,False
522,177647,True
316,67162,False
524,431077,False
904,62558,True
648,117303,True
324,336004,False
729,563798,True
161,214219,True
182,1059369,False
835,608915,False
410,362282,False
172,716710,True
560,434010,True
162,89845,True
213,692907,True
697,3519,False
848,1000820,True
826,221487,True
552,966449,False
466,165775,False
979,10712,False
568,809597,True
144,2942,True
93,819914,False
950,163528,False
918,467484,True
308,5124,True
809,48842,False
76,572827,False
770,2576,False
677,385870,False
145,752037,True
683,3376,False
149,86357,True
477,70298,False
940,528306,False
68,536518,True
79,170184,True
898,632542,False
420,242807,False
873,383528,False
82,744392,True
842,587689,False
513,572657,True
147,6761,False
71,113887,True
146,201301,False
64,642527,True
741,552388,True
533,347744,False
838,291871,True
289,309773,True
510,222366,True
429,6158,False
579,2154,False
861,760061,False
374,30116,False
633,214843,False
661,98522,False
990,66982,False
69,14998,True
850,223666,False
638,521729,False
970,409712,False
941,1019408,False
377,949662,False
327,54457,True
181,649100,True
862,8354,True
188,1066120,False
318,645746,False
627,192985,True
723,900000,True
796,771864,True
504,151620,False
820,75130,False
295,891518,True
450,575979,False
46,542199,True
606,934234,False
281,360311,False
804,1078444,False
691,175046,False
604,228705,True
444,336301,True
523,712775,False
256,773529,False
252,1087864,False
805,368760,True
553,981244,True
198,273931,True
706,582066,True
373,99016,False
896,476506,True
363,606287,True
570,429633,True
889,477324,False
494,1008046,False
586,310056,True
868,1016379,False
631,692907,True
453,409640,True
73,360712,False
509,69571,True
801,173546,False
492,1045476,False
704,145155,True
480,787384,True
87,142019,False
287,20129,False
276,935187,False
204,217864,True
556,695551,True
307,1045517,True
218,336247,True
508,1087424,False
628,553239,False
624,82130,False
671,1007174,True
877,189604,False
662,491015,False
639,672095,True
9,552643,True
527,707173,False
116,589888,False
464,78191,True
739,291372,False
914,88372,False
764,1013868,False
923,168390,True
272,206613,True
649,4190,False
909,232511,False
555,341240,False
113,61410,False
231,186383,True
403,10117,True
319,5617,False
598,683910,False
844,684797,False
92,104523,True
502,345634,True
599,598430,False
458,495335,False
53,1045998,False
977,957933,False
679,751740,True
837,117545,False
816,889,True
221,256614,False
359,779462,True
223,1064469,False
485,938103,True
306,136627,False
749,63596,True
793,1063580,True
611,543650,True
335,1030927,False
61,1027544,True
934,126323,True
650,803610,False
292,214468,True
642,195500,True
645,654656,True
436,335807,True
31,344597,True
640,497008,True
695,717057,True
357,728315,True
434,326191,False
63,197051,True
594,689011,False
238,531261,False
262,85403,True
118,227626,True
474,338057,False
245,151829,False
575,199515,True
259,344239,True
298,183450,False
422,335955,True
365,26242,True
85,56180,True
769,72778,False
208,770543,True
206,263533,False
232,290326,False
241,80539,False
807,460600,True
995,8184,False
138,161119,True
903,362734,False
507,784029,True
398,1093063,False
657,992981,False
813,72041,False
28,769358,True
532,15995,True
349,664225,False
574,564125,False
21,160846,False
714,717650,True
928,498994,False
622,575753,False
567,385103,False
170,331853,False
325,508234,False
908,6313,True
417,526090,True
260,984372,True
401,13307,False
59,21835,True
201,763102,False
732,57870,True
907,67035,False
690,290823,True
278,472305,True
171,749212,False
22,526718,False
341,531115,True
379,181228,False
381,246667,True
660,1109973,True
32,575354,True
332,428181,True
566,801390,True
296,960212,True
207,689596,True
399,177217,False
962,57961,False
358,387361,True
364,337227,False
593,129314,True
16,6399,False
237,6985,False
355,547836,True
215,574669,True
336,275413,False
499,404402,False
244,27009,True
348,3904,False
983,175736,True
596,813328,False
164,328184,False
681,45531,False
520,359072,False
342,718,False
911,172511,True
310,946253,True
469,214316,False
884,984890,True
20,542705,True
752,576089,False
397,925117,True
783,1019592,True
440,641508,False
121,332350,True
737,538290,False
463,542635,True
687,179749,True
563,928326,True
127,16084,False
890,76967,False
608,555719,True
0,892720,True
126,644192,False
111,164696,False
554,765122,False
910,949662,True
795,55782,True
932,290496,True
90,684989,False
205,604402,False
966,11095,False
843,1092681,True
280,101312,True
572,116164,False
131,222384,False
774,1013469,False
882,1005971,True
952,564246,True
235,290531,True
664,646286,False
29,740479,False
617,773076,False
114,751751,False
949,5795,False
891,683054,False
242,234823,True
906,469336,True
521,690542,False
361,475287,True
506,1664,True
279,780862,True
129,764571,False
243,65274,True
635,803386,False
759,140201,True
822,3300,True
333,525233,False
953,501374,False
44,470835,True
297,642774,False
192,260995,True
814,788161,False
806,472020,True
339,572519,False
685,28637,False
899,560272,False
880,161580,False
274,119542,True
185,484235,False
17,28810,False
196,739728,False
760,700334,True
852,227323,True
167,8184,True
346,498767,True
728,161954,True
187,31017,True
102,157258,False
445,166773,True
408,3795,True
240,246667,True
233,1044136,True
156,4571,True
535,3951,False
86,508141,False
338,1065059,False
703,765694,False
895,1064061,False
875,995773,False
709,596521,False
454,4294,False
678,662232,True
881,365780,True
99,8120,True
449,975067,True
885,336344,True
720,693902,False
742,3047,False
637,588457,False
88,1093479,True
132,57575,False
845,158520,True
578,1343,False
724,290134,False
54,1024493,True
825,1002659,True
115,638910,False
808,31766,True
790,1077305,False
867,540626,False
536,467553,True
427,207988,False
288,73961,False
11,561665,False
400,642774,False
781,178284,True
311,193319,False
300,663939,True
178,23212,False
451,22041,True
411,15358,False
57,1012953,False
89,490630,True
721,163654,False
56,813681,False
943,782076,False
734,192699,False
925,769614,False
387,10349,False
602,743153,True
782,139815,False
389,1017292,False
202,788291,False
900,1108845,True
283,952943,False
437,665246,True
883,808339,False
564,213932,False
754,862435,True
220,649817,True
193,669492,False
616,213405,True
368,292127,False
944,937,True
686,20478,True
755,762013,False
757,42795,False
473,97680,True
840,187258,False
195,590620,True
863,601188,True
394,55482,True
257,615789,False
189,1827,False
621,336811,False
669,162186,False
286,523464,True
412,30792,True
253,16439,True
913,716710,False
623,16305,False
246,72570,True
405,337883,True
821,582351,True
414,214447,True
798,69336,True
655,291539,False
886,217509,True
154,34566,True
921,600813,True
731,63444,False
179,687650,False
12,371003,False
19,472305,False
869,828927,False
933,550700,True
330,326,False
964,538308,False
580,384460,True
41,935538,False
936,70734,True
505,549014,False
343,230526,False
352,431139,False
917,580826,False
738,176410,False
819,789111,False
